Reference;Customer;Ship To;BU;Element;Element Type;Date;Qtes
16965;N.D;MCI;STE MCI;History;Original History;01/04/2018;25
1050000001;N.D;MCI;STE MCI;History;Original History;01/04/2018;25
02E03947;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
4117;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
1117417615000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
1121016825000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
1125008415000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
1133008215000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
1,13301E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;30
119202/4.3;N.D;MCI;STE MCI;History;Original History;01/04/2018;250
1,2116E+11;N.D;MCI;STE MCI;History;Original History;01/04/2018;42.9
13028;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
1,30701E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;15
134-35SD/120GB;N.D;MCI;STE MCI;History;Original History;01/04/2018;100
134LR/100GB;N.D;MCI;STE MCI;History;Original History;01/04/2018;200
134LR/90GB;N.D;MCI;STE MCI;History;Original History;01/04/2018;200
134R/60;N.D;MCI;STE MCI;History;Original History;01/04/2018;100
134SES/70;N.D;MCI;STE MCI;History;Original History;01/04/2018;100
138153023001F;N.D;MCI;STE MCI;History;Original History;01/04/2018;300
149515035501F;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
15158/20;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
15158/21;N.D;MCI;STE MCI;History;Original History;01/04/2018;1.5
1606R214R;N.D;MCI;STE MCI;History;Original History;01/04/2018;151.2
181/R;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
1C-250;N.D;MCI;STE MCI;History;Original History;01/04/2018;3975
1ET000001;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
200-SR/75;N.D;MCI;STE MCI;History;Original History;01/04/2018;90
21;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
21334800;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
21338504;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
21389200;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
21389705;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
23007503;N.D;MCI;STE MCI;History;Original History;01/04/2018;6
23007602;N.D;MCI;STE MCI;History;Original History;01/04/2018;6
2350N2000;N.D;MCI;STE MCI;History;Original History;01/04/2018;36
2415;N.D;MCI;STE MCI;History;Original History;01/04/2018;870
245-1660A;N.D;MCI;STE MCI;History;Original History;01/04/2018;200
270;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
27284;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
295;N.D;MCI;STE MCI;History;Original History;01/04/2018;110
31583;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
316.13AD;N.D;MCI;STE MCI;History;Original History;01/04/2018;56
3,30162E+11;N.D;MCI;STE MCI;History;Original History;01/04/2018;45
330H-W;N.D;MCI;STE MCI;History;Original History;01/04/2018;32
330H-W_EX;N.D;MCI;STE MCI;History;Original History;01/04/2018;350
340606;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
359;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
38696;N.D;MCI;STE MCI;History;Original History;01/04/2018;30
40006207;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
4001;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
40049426;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
40087153;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
40087155;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
40087156;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
43014;N.D;MCI;STE MCI;History;Original History;01/04/2018;48
43017;N.D;MCI;STE MCI;History;Original History;01/04/2018;66
4,7355E+11;N.D;MCI;STE MCI;History;Original History;01/04/2018;60.27
48100AM;N.D;MCI;STE MCI;History;Original History;01/04/2018;108
48KST04536;N.D;MCI;STE MCI;History;Original History;01/04/2018;107
51-252110-02;N.D;MCI;STE MCI;History;Original History;01/04/2018;40
532-26E/2;N.D;MCI;STE MCI;History;Original History;01/04/2018;40
5701030;N.D;MCI;STE MCI;History;Original History;01/04/2018;100
5ST000070BSO;N.D;MCI;STE MCI;History;Original History;01/04/2018;669
60.5;N.D;MCI;STE MCI;History;Original History;01/04/2018;7
60456/EXO;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
609421;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
628.25AS;N.D;MCI;STE MCI;History;Original History;01/04/2018;48.75
660472;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
6840931;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
700021;N.D;MCI;STE MCI;History;Original History;01/04/2018;560
70002129;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
7113000111000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
7117000131000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
800-100;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
884-150152;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9002-G-2600X420;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9002-G-4300X630;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
91-119283-01;N.D;MCI;STE MCI;History;Original History;01/04/2018;42
91-164673-01;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9100027725000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9100033815000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9100062115000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;6
9100226225000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9101016605000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9101093705000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;14
9101828591000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
9101833905000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9102587405000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
9104966403003B;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9110203105000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9111914225000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9111918605000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
91119202044.3;N.D;MCI;STE MCI;History;Original History;01/04/2018;150
9111928205000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
9111938105000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
9,11195E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
9,11195E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9111950305000ZZ;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9112915391000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
9112991791001B;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
9,11503E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;6
9,11508E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9115078524003B;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9115086824003B;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
9116469793001B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9116819305000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
9,11682E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
9,11737E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9117535805000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;11
9117632805000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9117632905000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9126225091000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
9,12624E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;41
9126327171895B;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
9,12633E+12;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
9126415425000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;30
9126650591000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
9150039905000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9150046005000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
9151004405000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
9170077015000B;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
9198;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9202;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
9577820093001B;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
ADRI.ETRW;N.D;MCI;STE MCI;History;Original History;01/04/2018;300
ADRI.PIN8F;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
ADRI.PIN8P;N.D;MCI;STE MCI;History;Original History;01/04/2018;7
ADRI.POTCOLLE;N.D;MCI;STE MCI;History;Original History;01/04/2018;12
ADRI.SILVER;N.D;MCI;STE MCI;History;Original History;01/04/2018;800
AE-910/18;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
ART.2512;N.D;MCI;STE MCI;History;Original History;01/04/2018;23
ART.511;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
B40C1147-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
B40C1220-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;12
B40C1329-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;36
B40C1371-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
B40C2001-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;312
B40C2009-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
B40C2044-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;108
B40C2091-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;12
B40C5466-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;72
B40C6343-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
BD-30X2;N.D;MCI;STE MCI;History;Original History;01/04/2018;320
BE-30X2;N.D;MCI;STE MCI;History;Original History;01/04/2018;160
BIAD622-300MM;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
BIAD622-50MM;N.D;MCI;STE MCI;History;Original History;01/04/2018;282
BIAD622-750MM;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
BIPLAST05/100V;N.D;MCI;STE MCI;History;Original History;01/04/2018;29.6
BS200-ROLL;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
C01247;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
CNW50G90X300B;N.D;MCI;STE MCI;History;Original History;01/04/2018;1200
CNW50G90X300N;N.D;MCI;STE MCI;History;Original History;01/04/2018;600
CP-PF490TR;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
CR01301;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
CREPE;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
DA0888200040;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
DA0888200050;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
DA0888200270;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
DA0888200280;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
DA0888220010;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
DA0888220020;N.D;MCI;STE MCI;History;Original History;01/04/2018;6
DA0888220040;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
DA0888220090;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
DA0888220783;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
DA0992016580;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
DA9129020120;N.D;MCI;STE MCI;History;Original History;01/04/2018;46
DB-K5/60SES;N.D;MCI;STE MCI;History;Original History;01/04/2018;600
DS-66M-220V;N.D;MCI;STE MCI;History;Original History;01/04/2018;22
DSH-PF490TR;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
DSH-PF591;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
E-5165;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
EVA.F3MMB;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
F51CNI340;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
F532-10600-S;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
F532-361;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
FYT-200T/436;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
FYT-200T/449;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
FYT-200T/456;N.D;MCI;STE MCI;History;Original History;01/04/2018;15
FYT-200T/499;N.D;MCI;STE MCI;History;Original History;01/04/2018;15
G16;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
G17;N.D;MCI;STE MCI;History;Original History;01/04/2018;12
G7E;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
GP2-71;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
GR367-3MM-INT;N.D;MCI;STE MCI;History;Original History;01/04/2018;4
GR367X-3MM-EXT;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
GR367X-3MM-INT;N.D;MCI;STE MCI;History;Original History;01/04/2018;6
H16MM-JL001;N.D;MCI;STE MCI;History;Original History;01/04/2018;125
H1800X500X50B;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
H220X220X10B;N.D;MCI;STE MCI;History;Original History;01/04/2018;12
H900X450X50B;N.D;MCI;STE MCI;History;Original History;01/04/2018;16
H900X450X50SB;N.D;MCI;STE MCI;History;Original History;01/04/2018;16
H900X450X50SV;N.D;MCI;STE MCI;History;Original History;01/04/2018;7
K1.0C101-500;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
K1.0C120-500;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
K28474700000;N.D;MCI;STE MCI;History;Original History;01/04/2018;33
KP367LN;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
KP367RN;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
KP768-I-8MM;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
L-300;N.D;MCI;STE MCI;History;Original History;01/04/2018;60
L16MM-JL001;N.D;MCI;STE MCI;History;Original History;01/04/2018;200
LA2790X50X0.6;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
LA3500X50X0.7;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
LA3570X50X0.8;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
LATEX3MMD20AD;N.D;MCI;STE MCI;History;Original History;01/04/2018;75
LP8971-I-AUT;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
LP9971;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
LP9974;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
LPP-3;N.D;MCI;STE MCI;History;Original History;01/04/2018;80
LPP-5;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
LPP-9;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
LUSTAFILTM4138;N.D;MCI;STE MCI;History;Original History;01/04/2018;3.3
M90605010;N.D;MCI;STE MCI;History;Original History;01/04/2018;6
M90815002;N.D;MCI;STE MCI;History;Original History;01/04/2018;20
ME10A2101;N.D;MCI;STE MCI;History;Original History;01/04/2018;1
MF15C1-2500;N.D;MCI;STE MCI;History;Original History;01/04/2018;576
MF2036;N.D;MCI;STE MCI;History;Original History;01/04/2018;5
MF20C58-1500;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF30C00-1KG;N.D;MCI;STE MCI;History;Original History;01/04/2018;3
MF30C012-2500;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
MF30C04-2500MT;N.D;MCI;STE MCI;History;Original History;01/04/2018;40
MF30C511-2500;N.D;MCI;STE MCI;History;Original History;01/04/2018;2
MF30C5322-2500;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF30C5504-2500;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF30C57-2500;N.D;MCI;STE MCI;History;Original History;01/04/2018;10
MF30C715-2500;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF30C9-1KG;N.D;MCI;STE MCI;History;Original History;01/04/2018;9
MF40C00-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;16
MF40C011-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;32
MF40C03-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C202-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C3-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C390-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C4-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;56
MF40C43-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C5-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
MF40C510-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C511-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C512-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C5322-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C5328-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C5340-10M;N.D;MCI;STE MCI;History;Original History;01/04/2018;96
MF40C5340-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;48
MF40C5352-250;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C5500-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;16
MF40C5504-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C57-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C59-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;40
MF40C6413-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;16
MF40C715-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C75-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C811-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;8
MF40C9-3000;N.D;MCI;STE MCI;History;Original History;01/04/2018;56
MF60C00-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;72
MF60C183-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;16
MF60C5-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;32
MF60C6282-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
MF60C835-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
MF60C9-5000;N.D;MCI;STE MCI;History;Original History;01/04/2018;64
MF80C37-25M;N.D;MCI;STE MCI;History;Original History;01/04/2018;24
